,year,mileage,S,SR,SV,SL,listed price,Accident,Past Owners,is_Personal_Use,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,first_color,second_color,Beige exterior,Black exterior,Blue exterior,Brown exterior,Gold exterior,Gray exterior,Green exterior,Maroon exterior,Red exterior,Silver exterior,Tan exterior,Teal exterior,Unknown exterior,White exterior, Beige interior, Black interior, Blue interior, Gray interior, Unknown interior
0,2018,32938,1,0,0,0,12188,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black exterior, Black interior,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2018,41906,1,0,0,0,13950,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Blue exterior, Black interior,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2017,30001,1,0,0,0,11999,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gray exterior, Black interior,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2015,61879,1,0,0,0,8999,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue exterior, Unknown interior,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2015,42036,1,0,0,0,9984,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White exterior, Beige interior,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5,2015,112036,1,0,0,0,6995,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White exterior, Black interior,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6,2015,76258,1,0,0,0,8694,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Silver exterior, Black interior,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,2012,82000,1,0,0,0,6499,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,White exterior, Beige interior,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,2014,81840,1,0,0,0,9900,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gray exterior, Black interior,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2017,47343,1,0,0,0,9900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black exterior, Beige interior,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
