,listed_price,value,value_description,make_and_model,year,mileage,trim_level,color,location,additional_description,discount,car_URL,thumbnail_URL,make_first,make_second,state,Accident,Past Owners,Usage,is_Excellent_Price,is_Great_Price,is_Fleet_Use,is_Personal_Use
0,18997,Excellent Price,"$2,503 off avg. list price",Kia Sorento,2020,17355,LX V6 FWD,"White exterior, Black interior","Oakland, CA","No accidents, 1 Owner, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/5XYPG4A59LG627533/2020-kia-sorento/,https://listings-prod.tcimg.net/listings/85747/33/75/5XYPG4A59LG627533/AB6D6VDOBMWFW5SNSDN4T4XE3U-318.jpg,Kia,Sorento, CA,0,1, Fleet use,1,0,1,0
1,11197,Excellent Price,"$1,429 off avg. list price",Nissan Sentra,2019,43761,SV CVT,"White exterior, Black interior","Nashville, TN","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4KY288992/2019-nissan-sentra/,https://listings-prod.tcimg.net/listings/83548/92/89/3N1AB7AP4KY288992/S7JTI6JKQAL7JBQ2MXGOF5VN4I-318.jpg,Nissan,Sentra, TN,0,1, Personal use,1,0,0,1
2,14897,Excellent Price,"$1,923 off avg. list price",Chevrolet Malibu,2020,45308,LT,"Black exterior, Black interior","Murray, UT","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST0LF006830/2020-chevrolet-malibu/,https://listings-prod.tcimg.net/listings/86355/30/68/1G1ZD5ST0LF006830/PJFKHI3PV6OFH6AMSN75IDKEVU-318.jpg,Chevrolet,Malibu, UT,0,1, Personal use,1,0,0,1
3,17497,Excellent Price,"$2,233 off avg. list price",Kia Sorento,2020,35256,LX V6 FWD,"White exterior, Black interior","Murray, UT","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/5XYPG4A51LG610466/2020-kia-sorento/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kia,Sorento, UT,0,1, Personal use,1,0,0,1
4,12499,Excellent Price,"$1,547 off avg. list price",Nissan Sentra,2019,21534,SV CVT,"White exterior, Black interior","Philadelphia, PA","No accidents, 1 Owner, Fleet use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4KY359138/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, PA,0,1, Fleet use,1,0,1,0
5,13397,Excellent Price,"$1,656 off avg. list price",Toyota Corolla,2020,39337,LE CVT,"Silver exterior, Unknown interior","Oakland, CA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAE4LJ044288/2020-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, CA,0,1, Personal use,1,0,0,1
6,23094,Excellent Price,"$2,665 off avg. list price",Kia Sorento,2020,763,LX V6 FWD,"White exterior, Black interior","Folsom, CA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/5XYPG4A57LG675709/2020-kia-sorento/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kia,Sorento, CA,0,1, Personal use,1,0,0,1
7,11497,Excellent Price,"$1,358 off avg. list price",Nissan Sentra,2019,33288,SV CVT,"White exterior, Black interior","Oakbrook, IL","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP8KL612958/2019-nissan-sentra/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, IL,0,1, Personal use,1,0,0,1
8,14995,Excellent Price,,Chevrolet Malibu,2020,35451,LT,"White exterior, Black interior","Katy, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5STXLF006091/2020-chevrolet-malibu/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Chevrolet,Malibu, TX,0,1, Personal use,1,0,0,1
9,12998,Excellent Price,"$1,378 off avg. list price",Toyota Corolla,2020,32098,LE CVT,"Black exterior, Black interior","Tampa, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAEXLP012280/2020-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, FL,0,1, Personal use,1,0,0,1
10,10888,Excellent Price,"$2,188 off avg. list price",Toyota Corolla,2020,28932,LE CVT,"White exterior, Beige interior","Davie, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/JTDEPRAE3LJ056755/2020-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, FL,0,1, Personal use,1,0,0,1
11,19897,Excellent Price,,GMC Terrain,2020,43001,SLT AWD,"Black exterior, Black interior","Dallas, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3GKALVEV4LL125933/2020-gmc-terrain/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",GMC,Terrain, TX,0,1, Personal use,1,0,0,1
12,16597,Excellent Price,"$2,669 off avg. list price",Dodge Journey,2019,37543,GT AWD,"White exterior, Red interior","Orlando, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG2KT745855/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, FL,0,1, Personal use,1,0,0,1
13,16697,Excellent Price,"$2,758 off avg. list price",Dodge Journey,2019,35080,GT AWD,"Black exterior, Red interior","Orlando, FL","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/3C4PDDEG5KT720352/2019-dodge-journey/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dodge,Journey, FL,0,1, Personal use,1,0,0,1
14,14544,Excellent Price,"$2,600 off avg. list price",Toyota Corolla,2020,26803,LE CVT,"Black exterior, Unknown interior","Marina Del Rey, CA","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE2LP019708/2020-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, CA,0,1, Personal use,1,0,0,1
